# DATE_TIME format is %Y
# WELL_NO is the well number
# WELL_TYPE is the well type (SW - swamp water, GW - groundwater)
# SURF_ELEV is the surface elevation above sea level (m)
DATE_TIME,WELL_NO,WELL_TYPE,SURF_ELEV
1986,359,GW,54.56
1986,360,GW,55.75
1986,364,GW,52.65
1986,365,GW,55.46
1986,366,GW,55.47
1986,367,GW,55.47
1986,369,GW,50.68
1986,374,GW,54.78
1986,375,GW,53.38
1986,376,GW,52.87
1986,377,GW,55.39
1986,378,GW,53.34
1986,379,GW,54.09
1988,359,GW,54.52
1988,360,GW,55.75
1988,364,GW,52.65
1988,365,GW,55.46
1988,366,GW,55.47
1988,367,GW,55.47
1988,369,GW,50.68
1988,374,GW,54.9
1988,375,GW,53.45
1988,376,GW,52.9
1988,377,GW,55.42
1988,378,GW,53.34
1988,379,GW,54.09
1990,101,SW,54.52
1990,103,SW,55.31
1990,104,SW,55.4
1990,106,SW,55.05
1990,108,SW,53.44
1990,109,SW,52.53
1990,210,SW,54.53
1990,313,SW,53.08
1990,316,SW,53.2
1990,359,GW,54.52
1990,360,GW,55.71
1990,364,GW,52.63
1990,365,GW,55.45
1990,366,GW,55.46
1990,367,GW,55.46
1990,369,GW,50.68
1990,374,GW,54.87
1990,375,GW,53.44
1990,376,GW,52.9
1990,377,GW,55.4
1990,378,GW,53.34
1990,379,GW,54.09
1990,102a,SW,55.23
1990,107b,SW,54.38
1990,Dve Sestry Lake,SW,54.74
1995,101,SW,54.52
1995,103,SW,55.31
1995,104,SW,55.4
1995,106,SW,55.05
1995,108,SW,53.44
1995,109,SW,52.54
1995,210,SW,54.53
1995,313,SW,53.08
1995,316,SW,53.2
1995,359,GW,54.52
1995,360,GW,55.71
1995,364,GW,52.63
1995,365,GW,55.45
1995,366,GW,55.46
1995,367,GW,55.46
1995,369,GW,50.68
1995,374,GW,54.87
1995,375,GW,53.44
1995,376,GW,52.9
1995,377,GW,55.4
1995,378,GW,53.34
1995,379,GW,54.09
1995,102a,SW,55.23
1995,107b,SW,54.38
1995,Dve Sestry Lake,SW,54.74
